f,P_mag,P_phase,G_mag,G_phase
0.2,-73.5078673452408,112.812704910528,-13.9618435738209,163.440184421922
0.200440368901711,-73.4684668142407,112.748983583083,-13.9018807034332,163.268216846713
0.20088170742727,-73.4289418914924,112.685131201123,-13.841765112238,163.095626289097
0.201324017711638,-73.3892911513707,112.621145748405,-13.7814950006765,162.922404779327
0.201767301894476,-73.34951314698,112.557025166334,-13.7210685438436,162.7485441911
0.202211562120159,-73.3096064097596,112.49276735299,-13.6604838910821,162.574036237894
0.202656800537779,-73.2695694490801,112.428370162115,-13.599739165569,162.398872469196
0.203103019301165,-73.2294007518297,112.363831402078,-13.5388324638953,162.223044266619
0.203550220568884,-73.1890987819921,112.299148834812,-13.4777618556377,162.046542839928
0.203998406504259,-73.148661980213,112.234320174716,-13.4165253829235,161.869359222944
0.204447579275374,-73.1080887633571,112.169343087531,-13.3551210599874,161.69148426934
0.204897741055089,-73.0673775240551,112.104215189182,-13.2935468727212,161.512908648325
0.205348894021046,-73.0265266302388,112.038934044587,-13.231800778215,161.33362284019
0.205801040355684,-72.985534424666,111.97349716643,-13.1698807042915,161.153617131755
0.206254182246247,-72.9443992244335,111.907902013902,-13.1077845490308,160.972881611665
0.206708321884792,-72.9031193204787,111.842145991406,-13.045510180289,160.791406165563
0.207163461468207,-72.861692977069,111.776226447218,-12.9830554352065,160.609180471137
0.207619603198214,-72.8201184312783,111.710140672116,-12.92041811971,160.426193993002
0.208076749281384,-72.7783938924519,111.643885897964,-12.8575960080043,160.24243597746
0.208534901929147,-72.736517541657,111.57745929626,-12.7945868420566,160.057895447095
0.208994063357802,-72.6944875311201,111.510857976629,-12.731388331072,159.87256119522
0.209454235788527,-72.6523019836512,111.444078985286,-12.6679981509599,159.686421780165
0.209915421447391,-72.6099589920524,111.377119303443,-12.6044139437921,159.499465519393
0.210377622565366,-72.5674566185127,111.30997584567,-12.5406333172514,159.311680483449
0.210840841378335,-72.5247928939871,111.242645458206,-12.4766538440718,159.123054489742
0.211305080127103,-72.4819658175604,111.175124917223,-12.4124730614687,158.933575096125
0.21177034105741,-72.4389733557947,111.107410927029,-12.3480884705613,158.743229594309
0.212236626419942,-72.3958134420602,111.039500118222,-12.2834975357841,158.552005003067
0.212703938470339,-72.3524839758491,110.971389045783,-12.2186976842906,158.359888061251
0.213172279469208,-72.3089828220717,110.903074187113,-12.1536863053466,158.166865220581
0.213641651682134,-72.2653078103347,110.834551940008,-12.0884607497146,157.97292263825
0.214112057379689,-72.2214567342003,110.765818620564,-12.0230183290282,157.778046169283
0.214583498837446,-72.1774273504259,110.696870461028,-11.957356315158,157.582221358675
0.215055978335987,-72.1332173781852,110.627703607566,-11.8914719395665,157.385433433302
0.215529498160918,-72.0888244982668,110.558314117974,-11.8253623926548,157.187667293571
0.216004060602876,-72.0442463522533,110.488697959305,-11.7590248230989,156.988907504835
0.21647966795754,-71.9994805416779,110.418851005423,-11.6924563371766,156.789138288536
0.216956322525646,-71.9545246271584,110.348769034479,-11.6256539980854,156.588343513085
0.217434026612995,-71.9093761275086,110.278447726302,-11.5586148252498,156.386506684454
0.217912782530466,-71.8640325188248,110.207882659709,-11.4913357936204,156.183610936495
0.218392592594025,-71.8184912335487,110.137069309715,-11.4238138329625,155.979639020945
0.218873459124737,-71.7727496595038,110.066003044667,-11.3560458271361,155.774573297138
0.219355384448779,-71.7268051389061,109.994679123267,-11.2880286133663,155.56839572138
0.219838370897449,-71.6806549673477,109.923092691504,-11.2197589815048,155.361087836017
0.22032242080718,-71.6342963927515,109.85123877948,-11.1512336732827,155.152630758141
0.220807536519546,-71.587726614298,109.779112298128,-11.0824493815537,154.94300516796
0.221293720381279,-71.5409427813214,109.706708035816,-11.0134027495295,154.732191296787
0.221780974744278,-71.4939419921752,109.63402065484,-10.9440903700069,154.520168914667
0.222269301965621,-71.4467212930654,109.56104468779,-10.8745087845859,154.306917317606
0.222758704407574,-71.3992776768514,109.487774533795,-10.8046544828811,154.092415314392
0.223249184437606,-71.3516080818119,109.414204454628,-10.7345239017251,153.876641213007
0.2237407444284,-71.303709390376,109.340328570687,-10.6641134243643,153.659572806597
0.22423338675786,-71.2555784278181,109.266140856823,-10.5934193796492,153.441187359003
0.224727113809127,-71.2072119609143,109.191635138028,-10.5224380412172,153.22146158982
0.225221927970591,-71.1586066965604,109.11680508496,-10.4511656266702,153.000371658981
0.225717831635899,-71.1097592803496,109.041644209314,-10.3795982967474,152.777893150845
0.22621482720397,-71.0606662951079,108.966145859025,-10.3077321544922,152.554001057766
0.226712917079002,-71.0113242593864,108.890303213293,-10.2355632444167,152.328669763137
0.227212103670491,-70.9617296259097,108.814109277428,-10.1630875516618,152.101873023872
0.227712389393235,-70.9118787799769,108.737556877506,-10.0903010011551,151.873583952335
