f,C_mag,C_phase
0.0001,9.56927616787508,0.0683247533619351
0.000101861017015598,9.5682484763001,0.0697441674819856
0.000103756667874519,9.56718208410113,0.0711984408413855
0.00010568759711848,9.56607553024028,0.072688705614155
0.000107654461284232,9.56492729824174,0.0742161428496502
0.000109657929126781,9.56373581406674,0.0757819849953876
0.000111698681846782,9.5624994439054,0.0773875185576571
0.000113777413322149,9.56121649188213,0.0790340869164083
0.000115894830343981,9.55988519767101,0.0807230932947505
0.000118051652856881,9.55850373401752,0.0824560038987556
0.000120248614203741,9.55707020416272,0.0842343512349544
0.000122486461375093,9.555582639166,0.0860597376159831
0.000124765955263087,9.55403899512204,0.0879338388647284
0.000127087870920206,9.55243715026777,0.0898584082325442
0.000129452997822792,9.5507749019747,0.0918352805379072
0.000131862140139475,9.54904996362183,0.0938663765472256
0.000134316117004602,9.54725996134421,0.0959537076022343
0.000136815762796747,9.54540243065193,0.098099380517624
0.000139361927422414,9.54347481291405,0.100305602761409
0.00014195547660501,9.54147445170184,0.10257468793202
0.000144597292179202,9.53939858898529,0.104909061558601
0.00014728827239075,9.53724436117671,0.107311267233285
0.000150029332201922,9.53500879501499,0.109783973104527
0.000152821403602587,9.53268880328338,0.112329978749813
0.000155665435927106,9.53028118035403,0.114952222449801
0.000158562396177114,9.52778259755144,0.117653788892653
0.000161513269350309,9.5251895983272,0.120437917328445
0.000164519058775366,9.52249859323772,0.12330801021028
0.000167580786453077,9.51970585471621,0.126267642343691
0.000170699493403841,9.51680751162999,0.129320570580035
0.000173876240021625,9.51379954361363,0.132470744091165
0.000177112106434509,9.51067777516774,0.135722315251769
0.000180408192871938,9.50743786951324,0.139079651180282
0.000183765620038817,9.50407532218986,0.142547345969433
0.000187185529496558,9.50058545438745,0.14613023365348
0.000190669084051225,9.49696340599792,0.149833401965338
0.000194217468148903,9.49320412837496,0.153662206921126
0.000197831888278416,9.48930237678833,0.157622288296807
0.000201513573381556,9.48525270255821,0.161719586049685
0.000205263775270925,9.48104944485521,0.165960357744552
0.000209083769055575,9.47668672214992,0.1703511970519
0.000212974853574552,9.47215842329575,0.174899053388344
0.000216938351838518,9.46745819822763,0.179611252772702
0.00022097561147959,9.46257944825824,0.1844955199781
0.000225088005209546,9.45751531595217,0.189560002067765
0.000229276931286565,9.45225867455818,0.194813293403968
0.000233543813990648,9.44680211697723,0.200264462229939
0.000237890104107889,9.44113794424416,0.205923078932642
0.00024231727942376,9.43525815349871,0.211799246095211
0.000246826845225569,9.42915442542032,0.217903630465571
0.00025142033481428,9.42281811110004,0.224247496971088
0.000256099310025846,9.416240218321,0.230842744918618
0.000260865361762255,9.40941139721722,0.237701946531956
0.00026572011053245,9.40232192527899,0.244838387991877
0.000270665207003324,9.39496169167084,0.252266113152928
0.000275702332560958,9.38732018082639,0.259999970124113
0.000280833199882317,9.3793864552819,0.268055660919003
0.000286059553517574,9.37114913770821,0.276449794398218
0.000291383170483279,9.36259639209822,0.285199942735289
0.00029680586086656,9.35371590406434,0.294324701666937
0.000302329468440578,9.34449486019738,0.303843754804461
0.000307955871291423,9.33491992643564,0.313777942301385
0.000313686982456688,9.32497722538912,0.324149334207391
0.000319524750575921,9.31465231256072,0.334981308856413
0.000325471160553185,9.30393015140225,0.346298636668166
0.000331528234231943,9.29279508713893,0.358127569778731
0.000337698031082509,9.2812308192919,0.370495937945861
0.000343982648902292,9.26922037282324,0.383433251212978
0.000350384224529068,9.25674606782334,0.396970809868662
0.000356904934567523,9.2437894876543,0.411141822265336
0.000363546996129332,9.23033144545806,0.425981531132834
0.000370312667586993,9.21635194893067,0.441527349063904
0.0003772042493417,9.20183016325803,0.457819003918189
0.000384224084605506,9.18674437210062,0.474898694955414
0.000391374560198038,9.17107193650681,0.492811260588155
0.000398658107358044,9.15478925162599,0.511604358722479
0.000406077202570037,9.13787170108322,0.531328660751342
0.000413634368406327,9.12029360886729,0.552038060364339
0.000421332174384729,9.10202818857315,0.573789898452105
0.000429173237842216,9.08304748982802,0.596645205508707
0.000437160224824851,9.06332234171794,0.620668963073285
0.000445295850994265,9.04282229301789,0.645930385907945
0.000453582882551019,9.02151554901381,0.672503226784443
0.000462024137175131,8.99936890468906,0.700466105932378
0.000470622484984128,8.97634767403065,0.729902867436635
0.000479380849508911,8.95241561519202,0.760902965089144
0.000488302208687788,8.92753485122923,0.793561880485754
0.000497389595879006,8.90166578610574,0.827981576447542
0.000506646100892127,8.87476701563766,0.864270989193187
0.000516074871038591,8.84679523302658,0.902546563059332
0.000525679112201842,8.81770512859983,0.942932831999315
0.000535462089927361,8.78744928334901,0.98556305256318
0.000545427130532983,8.75597805582716,1.03057989361787
0.000555577622239888,8.72323946193082,1.07813618866351
0.000565917016324624,8.68917904705871,1.12839575730175
0.000576448828292588,8.65373975010029,1.18153430320933
0.000587176639073325,8.61686175866788,1.23774039684088
0.000598104096238094,8.57848235494405,1.29721655212097
0.000609234915240071,8.53853575147133,1.36018040752492
0.00062057288067765,8.49695291616621,1.42686602328581
0.000632121847581245,8.45366138579164,1.49752530794478
0.000643885742724042,8.40858506707502,1.572429589222
0.000655868565957143,8.36164402461087,1.65187134612586
0.000668074391569561,8.31275425464145,1.73616612151943
0.000680507369673521,8.26182744376587,1.82565463696358
0.000693171727615541,8.20877071159076,1.9207051346599
0.000706071771413777,8.15348633630673,2.02171597481924
0.000719211887222118,8.09587146215858,2.12911852076832
0.000732596542821523,8.03581778777888,2.24338034880316
0.000746230289139111,7.97321123438093,2.36500882517703
0.000760117761795533,7.90793159286808,2.49455509891891
