time,w_g
1.0875,-4.57956246275084e-06
1.1,-5.97430751763147e-06
1.1125,-7.46697897318914e-06
1.125,-9.07597070681691e-06
1.1375,-1.07762537412829e-05
1.15,-1.25514038525101e-05
1.1625,-1.4384871132127e-05
1.175,-1.62577844272111e-05
1.1875,-1.81511087301277e-05
1.2,-2.00443204968099e-05
1.2125,-2.19171006097446e-05
1.225,-2.37482852027446e-05
1.2375,-2.55172321978013e-05
1.25,-2.72038236782534e-05
1.2625,-2.87884753965253e-05
1.275,-3.02524453022337e-05
1.2875,-3.15779693922696e-05
1.3,-3.27486235966083e-05
1.3125,-3.37497639638567e-05
1.325,-3.45682240222692e-05
1.3375,-3.51932831939337e-05
1.35,-3.56154657968025e-05
1.3625,-3.5828016251596e-05
1.375,-3.58265949978586e-05
1.3875,-3.56089327398489e-05
1.4,-3.51751618506795e-05
1.4125,-3.45283028166163e-05
1.425,-3.36733143855663e-05
1.4375,-3.26181518473038e-05
1.45,-3.13725339685684e-05
1.4625,-2.99487296140169e-05
1.475,-2.83611322286197e-05
1.4875,-2.66258872741346e-05
1.5,-2.47614121383788e-05
1.5125,-2.27874979303841e-05
1.525,-2.07251074842441e-05
1.5375,-1.85961966456056e-05
1.55,-1.64239117137785e-05
1.5625,-1.42319308641482e-05
1.575,-1.20435823991267e-05
1.5875,-9.88312133792017e-06
1.6,-7.77381991844735e-06
1.6125,-5.73819121891022e-06
1.625,-3.79877321017197e-06
1.6375,-1.97460744298453e-06
1.65,-2.88975114659113e-07
1.6625,1.25767094515396e-06
1.675,2.61757523248716e-06
1.6875,3.79624680352964e-06
1.7,4.78731615723032e-06
1.7125,5.57316541324976e-06
1.725,6.15103924447248e-06
1.7375,6.51543026308422e-06
1.75,6.66574825615721e-06
1.7625,6.60283940440858e-06
1.775,6.33075337430135e-06
1.7875,5.85531761453368e-06
1.8,5.1859173188388e-06
1.8125,4.33223730956015e-06
1.825,3.30983993250494e-06
1.8375,2.12698650104934e-06
1.85,8.00334505193624e-07
1.8625,-6.23946207841264e-07
1.875,-2.16471253566141e-06
1.8875,-3.78304460615478e-06
1.9,-5.46020378612996e-06
1.9125,-7.17360054858603e-06
1.925,-8.900737225905e-06
1.9375,-1.06188369826602e-05
1.95,-1.23052023203148e-05
1.9625,-1.39376831233345e-05
1.975,-1.54945924496696e-05
1.9875,-1.6955202285924e-05
2,-1.82997139634937e-05
2.0125,-1.95097731580166e-05
2.025,-2.05684551062186e-05
2.0375,-2.14604151538946e-05
2.05,-2.21721181413803e-05
2.0625,-2.26920400446836e-05
2.075,-2.30108483006734e-05
2.0875,-2.31213465679601e-05
2.1,-2.30184567689495e-05
2.1125,-2.26997924931474e-05
2.125,-2.2164889665677e-05
2.1375,-2.14157945476622e-05
2.15,-2.04573772637667e-05
2.1625,-1.92964513116356e-05
2.175,-1.79422376822528e-05
2.1875,-1.64060703077044e-05
2.2,-1.47013819952712e-05
2.2125,-1.28434154484147e-05
2.225,-1.08491818112398e-05
2.2375,-8.7372712394469e-06
2.25,-6.52763967656085e-06
2.2625,-4.24123571652341e-06
2.275,-1.90005703020744e-06
2.2875,4.73496181387511e-07
2.3,2.85656513155112e-06
2.3125,5.22640038383857e-06
2.325,7.56318649901926e-06
2.3375,9.83734308965013e-06
2.35,1.20321793658403e-05
2.3625,1.41265509653945e-05
2.375,1.61008840891144e-05
2.3875,1.79373063022239e-05
2.4,1.96191904504786e-05
2.4125,2.11323244547087e-05
2.425,2.24637002321653e-05
2.4375,2.36028826585497e-05
2.45,2.45416637146411e-05
2.4625,2.52738358640408e-05
2.475,2.57958411035155e-05
2.4875,2.61060854730867e-05
2.5,2.62054585492015e-05
2.5125,2.6097123348163e-05
2.525,2.57865777731485e-05
2.5375,2.52814022412963e-05
