time,w_g
1.6875,8.62967534239068e-06
1.7,1.01679742217764e-05
1.7125,1.14530421190542e-05
1.725,1.24691021133052e-05
1.7375,1.32091974070671e-05
1.75,1.36673752489671e-05
1.7625,1.38420847063335e-05
1.775,1.37335358588478e-05
1.7875,1.33459215627351e-05
1.8,1.2686720328274e-05
1.8125,1.17660247494775e-05
1.825,1.05970664299208e-05
1.8375,9.19524849017352e-06
1.85,7.57981060500656e-06
1.8625,5.76951465691864e-06
1.875,3.79076904440255e-06
1.8875,1.65585555482836e-06
1.9,-5.91997819414414e-07
1.9125,-2.92347308619313e-06
1.925,-5.32772303491787e-06
1.9375,-7.76552820517366e-06
1.95,-1.02091498297051e-05
1.9625,-1.26271283860614e-05
1.975,-1.49898590448665e-05
1.9875,-1.72675470123195e-05
2,-1.94311442367139e-05
2.0125,-2.14524949254253e-05
2.025,-2.3305010758995e-05
2.0375,-2.4963651320062e-05
2.05,-2.64054252518361e-05
2.0625,-2.76094557197618e-05
2.075,-2.85571894494445e-05
2.0875,-2.92328855170459e-05
2.1,-2.96234769727034e-05
2.1125,-2.97194555631996e-05
2.125,-2.95136906037205e-05
2.1375,-2.90029034401158e-05
2.15,-2.81871089063282e-05
2.1625,-2.70696510165032e-05
2.175,-2.56574798862303e-05
2.1875,-2.39607006172959e-05
2.2,-2.19926605302371e-05
2.2125,-1.97699985553406e-05
2.225,-1.73121222604849e-05
2.2375,-1.46412057680744e-05
2.25,-1.17819226265468e-05
2.2625,-8.76107361368996e-06
2.275,-5.60731254261195e-06
2.2875,-2.35071425159751e-06
2.3,9.7727821062168e-07
2.3125,4.34469580050166e-06
2.325,7.71882213208603e-06
2.3375,1.1068263036189e-05
2.35,1.43630109195345e-05
2.3625,1.75661355279104e-05
2.375,2.06493740712514e-05
2.3875,2.35847315024079e-05
2.4,2.63453946177103e-05
2.4125,2.89065130944117e-05
2.425,3.12456718373287e-05
2.4375,3.33424073703938e-05
2.45,3.51794920124624e-05
2.4625,3.67425580358205e-05
2.475,3.8020116064271e-05
2.4875,3.90039942896633e-05
2.5,3.96890980753177e-05
2.5125,4.00733499414345e-05
2.525,4.01581054351487e-05
2.5375,3.99473834639117e-05
2.55,3.94484608459034e-05
2.5625,3.86718250677459e-05
2.575,3.7630635125624e-05
2.5875,3.63401006103939e-05
2.6,3.48185720020763e-05
2.6125,3.30862469175512e-05
2.625,3.1165002864505e-05
2.6375,2.90802889771136e-05
2.65,2.68562218813496e-05
2.6625,2.45201732569273e-05
2.675,2.2100238809021e-05
2.6875,1.96251831854302e-05
2.7,1.71242405661347e-05
2.7125,1.46265499907606e-05
2.725,1.21607097344468e-05
2.7375,9.75497191579116e-06
2.75,7.43751857267372e-06
2.7625,5.23442425087032e-06
2.775,3.17222624388755e-06
2.7875,1.27094283702344e-06
2.8,-4.27979814882594e-07
2.8125,-1.94093287306754e-06
2.825,-3.23653485075866e-06
2.8375,-4.29036322173236e-06
2.85,-5.09797722707678e-06
2.8625,-5.64817314778247e-06
2.875,-5.93733235024708e-06
2.8875,-5.96283709608819e-06
2.9,-5.72582894589519e-06
2.9125,-5.22992294934283e-06
2.925,-4.48153460888894e-06
2.9375,-3.49163825919576e-06
2.95,-2.27236758640077e-06
2.9625,-8.41494357839447e-07
2.975,7.85714744801119e-07
2.9875,2.58169327690561e-06
3,4.52335579260709e-06
3.0125,6.61610053154418e-06
3.025,8.79978551655153e-06
3.0375,1.10577768741747e-05
3.05,1.33622588115113e-05
3.0625,1.56859446476905e-05
3.075,1.80009409507627e-05
3.0875,2.02795156007405e-05
3.1,2.24946225782257e-05
3.1125,2.46201647400717e-05
3.125,2.66313995033032e-05
3.1375,2.85044393593354e-05
3.15,3.02176633638135e-05
