f,C_mag,C_phase
0.0001,-1.67947429999385,-100.073339426792
0.000101861017015598,-1.52298857607096,-99.9417226370336
0.000103756667874519,-1.36637722535782,-99.8133155392364
0.00010568759711848,-1.20964476965731,-99.6880833745405
0.000107654461284232,-1.05279558713453,-99.5659920018934
0.000109657929126781,-0.895833916832188,-99.4470079094322
0.000111698681846782,-0.738763863092862,-99.3310982249743
0.000113777413322149,-0.581589399887999,-99.2182307256726
0.000115894830343981,-0.424314375053569,-99.1083738468786
0.000118051652856881,-0.266942514432632,-99.001496690266
0.000120248614203741,-0.10947742592556,-98.8975690312531
0.000122486461375093,0.0480773965517126,-98.7965613257775
0.000124765955263087,0.20571856920037,-98.6984447164489
0.000127087870920206,0.363442814561356,-98.6031910381371
0.000129452997822792,0.521246957826728,-98.5107728230195
0.000131862140139475,0.67912792323859,-98.4211633051322
0.000134316117004602,0.837082730574035,-98.3343364244574
0.000136815762796747,0.995108491714594,-98.2502668305779
0.000139361927422414,1.15320240729872,-98.1689298859353
0.00014195547660501,1.31136176345538,-98.0903016687184
0.000144597292179202,1.46958392861716,-98.014358975414
0.00014728827239075,1.62786635041101,-97.9410793230406
0.000150029332201922,1.78620655262465,-97.8704409511037
0.000152821403602587,1.94460213224682,-97.8024228232844
0.000155665435927106,2.10305075657928,-97.7370046288937
0.000158562396177114,2.26155016041864,-97.674166784115
0.000161513269350309,2.42009814330588,-97.6138904330463
0.000164519058775366,2.57869256684158,-97.5561574485812
0.000167580786453077,2.73733135206465,-97.5009504331268
0.000170699493403841,2.89601247689261,-97.4482527191931
0.000173876240021625,3.05473397362116,-97.3980483698642
0.000177112106434509,3.21349392648099,-97.3503221791673
0.000180408192871938,3.37229046924965,-97.3050596723592
0.000183765620038817,3.53112178291646,-97.2622471061411
0.000187185529496558,3.68998609339821,-97.221871468817
0.000190669084051225,3.84888166930347,-97.1839204804096
0.000194217468148903,4.00780681974364,-97.1483825927471
0.000197831888278416,4.16675989218831,-97.1152469895254
0.000201513573381556,4.32573927036312,-97.0845035863698
0.000205263775270925,4.48474337218769,-97.0561430308938
0.000209083769055575,4.64377064775179,-97.0301567027695
0.000212974853574552,4.80281957732762,-97.006536713822
0.000216938351838518,4.96188866941596,-96.9852759081508
0.00022097561147959,5.12097645882434,-96.9663678622875
0.000225088005209546,5.28008150477504,-96.9498068854007
0.000229276931286565,5.43920238904093,-96.9355880195498
0.000233543813990648,5.59833771410706,-96.923707039994
0.000237890104107889,5.75748610135609,-96.9141604555718
0.00024231727942376,5.91664618927546,-96.9069455091374
0.000246826845225569,6.07581663168421,-96.9020601780808
0.00025142033481428,6.23499609597774,-96.8995031749183
0.000256099310025846,6.39418326138819,-96.8992739479667
0.000260865361762255,6.55337681725865,-96.9013726820995
0.00026572011053245,6.71257546132925,-96.9058002995944
0.000270665207003324,6.87177789803304,-96.9125584610659
0.000275702332560958,7.03098283679973,-96.9216495664934
0.000280833199882317,7.19018899036551,-96.9330767563396
0.000286059553517574,7.34939507308663,-96.9468439127669
0.000291383170483279,7.50859979925527,-96.9629556609458
0.00029680586086656,7.66780188141525,-96.9814173704631
0.000302329468440578,7.82700002867607,-97.0022351568218
0.000307955871291423,7.98619294502301,-97.025415883041
0.000313686982456688,8.14537932762155,-97.0509671613452
0.000319524750575921,8.304557865114,-97.0788973549542
0.000325471160553185,8.46372723590663,-97.1092155799557
0.000331528234231943,8.62288610644496,-97.1419317072782
0.000337698031082509,8.78203312947566,-97.1770563647403
0.000343982648902292,8.94116694229283,-97.2146009391928
0.000350384224529068,9.10028616496683,-97.2545775787372
0.000356904934567523,9.25938939855356,-97.2969991950215
0.000363546996129332,9.4184752232823,-97.3418794656105
0.000370312667586993,9.57754219672013,-97.389232836421
0.0003772042493417,9.73658885191093,-97.4390745242217
0.000384224084605506,9.89561369548685,-97.491420519188
0.000391374560198038,10.0546152057504,-97.5462875875073
0.000398658107358044,10.213591830725,-97.6036932740285
0.000406077202570037,10.3725419861722,-97.663655904943
0.000413634368406327,10.5314640535731,-97.7261945904999
0.000421332174384729,10.6903563780726,-97.7913292277311
0.000429173237842216,10.8492172663836,-97.8590805031935
0.000437160224824851,11.0080449846499,-97.9294698957041
0.000445295850994265,11.1668377562655,-98.0025196790671
0.000453582882551019,11.3255937596475,-98.0782529247764
0.000462024137175131,11.4843111259622,-98.1566935046814
0.000470622484984128,11.6429879368004,-98.2378660936062
0.000479380849508911,11.8016222218016,-98.3217961719029
0.000488302208687788,11.9602119562235,-98.4085100279336
0.000497389595879006,12.1187550584567,-98.4980347604503
0.000506646100892127,12.2772493874798,-98.5903982808754
0.000516074871038591,12.4356927402561,-98.685629315447
0.000525679112201842,12.5940828490676,-98.7837574072233
0.000535462089927361,12.7524173787847,-98.8848129179188
0.000545427130532983,12.9106939240713,-98.9888270295586
0.000555577622239888,13.0689100065207,-99.0958317459206
0.000565917016324624,13.2270630717231,-99.2058598937501
0.000576448828292588,13.3851504862609,-99.3189451237188
0.000587176639073325,13.5431695346316,-99.435121911104
0.000598104096238094,13.7011174160949,-99.5544255561599
0.000609234915240071,13.8589912414445,-99.6768921841551
0.00062057288067765,14.0167880297011,-99.8025587450463
0.000632121847581245,14.1745047047259,-99.9314630127536
0.000643885742724042,14.3321380917544,-100.063643584011
0.000655868565957143,14.4896849138466,-100.199139876755
0.000668074391569561,14.6471417882553,-100.337992128013
0.000680507369673521,14.8045052227099,-100.480241391259
0.000693171727615541,14.9617716116153,-100.625929533202
0.000706071771413777,15.118937232165,-100.775099229945
