f,P_mag,P_phase,G_mag,G_phase
0.2,-103.539506780722,-28.4305475268871,-54.6085662588673,31.2716126741251
0.200440368901711,-103.533902063116,-28.2271637121353,-54.5879740858066,31.3544300492993
0.20088170742727,-103.528153191669,-28.0207086240438,-54.5672651681976,31.4400928691308
0.201324017711638,-103.522254107498,-27.8111458272606,-54.5464336700377,31.5286369485167
0.201767301894476,-103.516198563503,-27.5984387472413,-54.5254735685001,31.6200982447764
0.202211562120159,-103.509980119689,-27.3825506901537,-54.504378649261,31.7145128378168
0.202656800537779,-103.503592138434,-27.1634448640873,-54.4831425017752,31.811916908987
0.203103019301165,-103.497027779715,-26.9410844016122,-54.4617585145041,31.9123467185934
0.203550220568884,-103.490279996282,-26.7154323837472,-54.4402198701016,32.0158385819975
0.203998406504259,-103.483341528808,-26.4864518653847,-54.4185195405631,32.1224288442631
0.204447579275374,-103.476204900997,-26.2541059022335,-54.3966502823439,32.2321538532832
0.204897741055089,-103.468862414676,-26.0183575793287,-54.3746046314536,32.3450499313407
0.205348894021046,-103.461306144864,-25.7791700411692,-54.3523748985332,32.4611533450477
0.205801040355684,-103.453527934836,-25.5365065235328,-54.3299531639233,32.5805002735958
0.206254182246247,-103.445519391187,-25.2903303870311,-54.3073312727319,32.7031267752818
0.206708321884792,-103.4372718789,-25.0406051524531,-54.2845008299099,32.8290687522334
0.207163461468207,-103.428776516435,-24.7872945379569,-54.2614531953457,32.9583619132961
0.207619603198214,-103.420024170848,-24.5303624981618,-54.2381794789881,33.0910417350121
0.208076749281384,-103.411005452949,-24.2697732651945,-54.2146705360091,33.2271434206556
0.208534901929147,-103.401710712512,-24.0054913917415,-54.1909169620195,33.3667018572529
0.208994063357802,-103.392130033547,-23.7374817961571,-54.1669090883484,33.5097515705545
0.209454235788527,-103.382253229658,-23.4657098096782,-54.1426369774028,33.6563266778967
0.209915421447391,-103.372069839489,-23.1901412257905,-54.1180904181191,33.8064608389154
0.210377622565366,-103.361569122278,-22.9107423517885,-54.0932589215238,33.9601872040654
0.210840841378335,-103.350740053539,-22.6274800625733,-54.0681317164194,34.1175383609027
0.211305080127103,-103.339571320886,-22.3403218567237,-54.0426977452116,34.2785462780961
0.21177034105741,-103.328051320013,-22.0492359148709,-54.0169456598976,34.4432422471281
0.212236626419942,-103.316168150861,-21.7541911604139,-53.9908638182328,34.6116568216702
0.212703938470339,-103.303909613973,-21.4551573225874,-53.9644402800967,34.783819754591
0.213172279469208,-103.291263207084,-21.1521050019128,-53.9376628040796,34.9597599325929
0.213641651682134,-103.278216121937,-20.8450057380339,-53.9105188443098,35.1395053084573
0.214112057379689,-103.264755241372,-20.5338320799503,-53.8829955475457,35.3230828308981
0.214583498837446,-103.250867136707,-20.218557658642,-53.855079750556,35.5105183720237
0.215055978335987,-103.236538065419,-19.899157262077,-53.8267579778116,35.7018366524121
0.215529498160918,-103.221753969174,-19.5756069125823,-53.7980164395148,35.8970611638306
0.216004060602876,-103.206500472212,-19.2478839465515,-53.7688410299926,36.0962140896125
0.21647966795754,-103.190762880129,-18.9159670964502,-53.7392173264787,36.2993162227406
0.216956322525646,-103.174526179073,-18.5798365750686,-53.7091305883143,36.5063868816866
0.217434026612995,-103.157775035381,-18.2394741619639,-53.678565756592,36.7174438240515
0.217912782530466,-103.140493795699,-17.8948632920191,-53.6475074542755,36.9325031581044
0.218392592594025,-103.122666487598,-17.5459891460291,-53.6159399868197,37.1515792522822
0.218873459124737,-103.104276820718,-17.1928387432205,-53.5838473433234,37.3746846427614
0.219355384448779,-103.085308188485,-16.8354010355874,-53.5512131982419,37.6018299392163
0.219838370897449,-103.065743670406,-16.4736670039166,-53.5180209136898,37.8330237288852
0.22032242080718,-103.045566034987,-16.1076297553566,-53.4842535423631,38.0682724790948
0.220807536519546,-103.024757743301,-15.7372846223728,-53.4498938311091,38.3075804383997
0.221293720381279,-103.003300953235,-15.3626292629083,-53.4149242251731,38.550949536513
0.221780974744278,-102.98117752443,-14.9836637615585,-53.3793268731492,38.7983792832309
0.222269301965621,-102.95836902397,-14.600390731547,-53.3430836326632,39.0498666665508
0.222758704407574,-102.934856732813,-14.2128154172722,-53.3061760768127,39.3054060502182
0.223249184437606,-102.910621653011,-13.8209457971782,-53.2685855013896,39.5649890709573
0.2237407444284,-102.885644515741,-13.4247926866817,-53.2302929329082,39.8286045356394
0.22423338675786,-102.859905790153,-13.0243698408715,-53.1912791374608,40.0962383186808
0.224727113809127,-102.83338569307,-12.6196940566774,-53.1515246304198,40.3678732599725
0.225221927970591,-102.806064199554,-12.2107852741876,-53.1110096870037,40.6434890636643
0.225717831635899,-102.777921054349,-11.7976666767765,-53.0697143537216,40.9230621981333
0.22621482720397,-102.74893578421,-11.3803647896883,-53.027618460709,41.2065657975046
0.226712917079002,-102.719087711142,-10.9589095767011,-52.9847016349621,41.4939695650842
0.227212103670491,-102.688355966529,-10.5333345344915,-52.9409433144765,41.7852396790971
0.227712389393235,-102.656719506188,-10.103676784292,-52.8963227632929,42.0803387011334
0.228213776667351,-102.624157126306,-9.66997716043238,-52.8508190874458,42.3792254877089
0.228716267918282,-102.590647480291,-9.23228029533539,-52.8044112518097,42.6818551053693
0.229219865576816,-102.556169096502,-8.79063470053768,-52.7570780978307,42.9881787497785
0.229724572079088,-102.520700396847,-8.34509284328783,-52.7087983621283,43.2981436692181
0.2302303898666,-102.484219716232,-7.89571121827908,-52.6595506959456,43.6116930929653
0.23073732138623,-102.446705322837,-7.44255041406211,-52.609313685422,43.9287661649806
